"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US17","Illinois","12694798","*****",
"1500000US170010001001","Block Group 1; Census Tract 1; Adams County; Illinois","1191","463",
"1500000US170010001002","Block Group 2; Census Tract 1; Adams County; Illinois","506","265",
"1500000US170010001003","Block Group 3; Census Tract 1; Adams County; Illinois","512","214",
"1500000US170010001004","Block Group 4; Census Tract 1; Adams County; Illinois","835","333",
"1500000US170010001005","Block Group 5; Census Tract 1; Adams County; Illinois","1175","395",
"1500000US170010002011","Block Group 1; Census Tract 2.01; Adams County; Illinois","943","165",
"1500000US170010002012","Block Group 2; Census Tract 2.01; Adams County; Illinois","946","283",
"1500000US170010002021","Block Group 1; Census Tract 2.02; Adams County; Illinois","813","306",
"1500000US170010002022","Block Group 2; Census Tract 2.02; Adams County; Illinois","1790","282",
"1500000US170010002023","Block Group 3; Census Tract 2.02; Adams County; Illinois","430","193",
"1500000US170010004001","Block Group 1; Census Tract 4; Adams County; Illinois","932","400",
"1500000US170010004002","Block Group 2; Census Tract 4; Adams County; Illinois","971","296",
"1500000US170010004003","Block Group 3; Census Tract 4; Adams County; Illinois","1184","304",
"1500000US170010004004","Block Group 4; Census Tract 4; Adams County; Illinois","364","277",
"1500000US170010005001","Block Group 1; Census Tract 5; Adams County; Illinois","1032","240",
"1500000US170010005002","Block Group 2; Census Tract 5; Adams County; Illinois","776","257",
"1500000US170010006001","Block Group 1; Census Tract 6; Adams County; Illinois","787","259",
"1500000US170010006002","Block Group 2; Census Tract 6; Adams County; Illinois","902","289",
"1500000US170010006003","Block Group 3; Census Tract 6; Adams County; Illinois","537","194",
"1500000US170010006004","Block Group 4; Census Tract 6; Adams County; Illinois","899","404",
"1500000US170010006005","Block Group 5; Census Tract 6; Adams County; Illinois","806","248",
"1500000US170010007001","Block Group 1; Census Tract 7; Adams County; Illinois","250","107",
"1500000US170010007002","Block Group 2; Census Tract 7; Adams County; Illinois","798","198",
"1500000US170010008001","Block Group 1; Census Tract 8; Adams County; Illinois","857","291",
"1500000US170010008002","Block Group 2; Census Tract 8; Adams County; Illinois","619","189",
"1500000US170010008003","Block Group 3; Census Tract 8; Adams County; Illinois","869","386",
"1500000US170010009001","Block Group 1; Census Tract 9; Adams County; Illinois","1173","278",
"1500000US170010009002","Block Group 2; Census Tract 9; Adams County; Illinois","1227","315",
"1500000US170010010011","Block Group 1; Census Tract 10.01; Adams County; Illinois","1018","311",
"1500000US170010010012","Block Group 2; Census Tract 10.01; Adams County; Illinois","1385","425",
"1500000US170010010013","Block Group 3; Census Tract 10.01; Adams County; Illinois","1530","563",
"1500000US170010010021","Block Group 1; Census Tract 10.02; Adams County; Illinois","662","199",
"1500000US170010010022","Block Group 2; Census Tract 10.02; Adams County; Illinois","2158","569",
"1500000US170010011001","Block Group 1; Census Tract 11; Adams County; Illinois","1211","365",
"1500000US170010011002","Block Group 2; Census Tract 11; Adams County; Illinois","2347","425",
"1500000US170010011003","Block Group 3; Census Tract 11; Adams County; Illinois","2682","599",
"1500000US170010011004","Block Group 4; Census Tract 11; Adams County; Illinois","1685","455",
"1500000US170010101001","Block Group 1; Census Tract 101; Adams County; Illinois","1164","266",
"1500000US170010101002","Block Group 2; Census Tract 101; Adams County; Illinois","993","176",
"1500000US170010101003","Block Group 3; Census Tract 101; Adams County; Illinois","1156","168",
"1500000US170010101004","Block Group 4; Census Tract 101; Adams County; Illinois","1273","206",
"1500000US170010102001","Block Group 1; Census Tract 102; Adams County; Illinois","797","197",
"1500000US170010102002","Block Group 2; Census Tract 102; Adams County; Illinois","819","192",
"1500000US170010102003","Block Group 3; Census Tract 102; Adams County; Illinois","1546","312",
"1500000US170010102004","Block Group 4; Census Tract 102; Adams County; Illinois","627","132",
"1500000US170010103011","Block Group 1; Census Tract 103.01; Adams County; Illinois","780","312",
"1500000US170010103012","Block Group 2; Census Tract 103.01; Adams County; Illinois","1213","367",
"1500000US170010103013","Block Group 3; Census Tract 103.01; Adams County; Illinois","919","242",
"1500000US170010103021","Block Group 1; Census Tract 103.02; Adams County; Illinois","712","140",
"1500000US170010103022","Block Group 2; Census Tract 103.02; Adams County; Illinois","989","297",
"1500000US170010103023","Block Group 3; Census Tract 103.02; Adams County; Illinois","1141","323",
"1500000US170010104001","Block Group 1; Census Tract 104; Adams County; Illinois","1824","266",
"1500000US170010104002","Block Group 2; Census Tract 104; Adams County; Illinois","594","180",
"1500000US170010104003","Block Group 3; Census Tract 104; Adams County; Illinois","974","216",
"1500000US170010105001","Block Group 1; Census Tract 105; Adams County; Illinois","2129","461",
"1500000US170010105002","Block Group 2; Census Tract 105; Adams County; Illinois","994","242",
"1500000US170010106001","Block Group 1; Census Tract 106; Adams County; Illinois","1677","408",
"1500000US170010106002","Block Group 2; Census Tract 106; Adams County; Illinois","1336","361",
"1500000US170010106003","Block Group 3; Census Tract 106; Adams County; Illinois","1777","525",
"1500000US170010106004","Block Group 4; Census Tract 106; Adams County; Illinois","518","238",
"1500000US170039576001","Block Group 1; Census Tract 9576; Alexander County; Illinois","741","135",
"1500000US170039576002","Block Group 2; Census Tract 9576; Alexander County; Illinois","506","124",
"1500000US170039576003","Block Group 3; Census Tract 9576; Alexander County; Illinois","522","161",
"1500000US170039577001","Block Group 1; Census Tract 9577; Alexander County; Illinois","592","164",
"1500000US170039577002","Block Group 2; Census Tract 9577; Alexander County; Illinois","749","192",
"1500000US170039578001","Block Group 1; Census Tract 9578; Alexander County; Illinois","393","171",
"1500000US170039578002","Block Group 2; Census Tract 9578; Alexander County; Illinois","643","173",
"1500000US170039579001","Block Group 1; Census Tract 9579; Alexander County; Illinois","269","112",
"1500000US170039579002","Block Group 2; Census Tract 9579; Alexander County; Illinois","460","194",
"1500000US170059512001","Block Group 1; Census Tract 9512; Bond County; Illinois","804","196",
"1500000US170059512002","Block Group 2; Census Tract 9512; Bond County; Illinois","1365","273",
"1500000US170059512003","Block Group 3; Census Tract 9512; Bond County; Illinois","892","230",
"1500000US170059513001","Block Group 1; Census Tract 9513; Bond County; Illinois","2532","482",
"1500000US170059513002","Block Group 2; Census Tract 9513; Bond County; Illinois","649","294",
"1500000US170059513003","Block Group 3; Census Tract 9513; Bond County; Illinois","1001","238",
