route_run_id,route_pair,route_pair_label,weight_id,distance_weight,population_weight,traffic_weight,airspace_weight,route_distance_km,total_weighted_score,path_nodes,dbscan_cluster,dbscan_cluster_source
chi_clow_to_midway_0001,clow_to_midway,Clow International Airport to Midway International Airport,w_0001,0.0,0.0,0.0,1.0,258.11363911254966,17.57821947035733,450,dbscan_003,dbscan_noise_001
chi_clow_to_midway_0002,clow_to_midway,Clow International Airport to Midway International Airport,w_0002,0.0,0.0,0.1,0.9,234.3684731085085,23.890903109421345,376,dbscan_004,dbscan_noise_002
chi_clow_to_midway_0003,clow_to_midway,Clow International Airport to Midway International Airport,w_0003,0.0,0.0,0.2,0.8,193.43596958287904,26.07744232139829,331,dbscan_005,dbscan_noise_003
chi_clow_to_midway_0004,clow_to_midway,Clow International Airport to Midway International Airport,w_0004,0.0,0.0,0.3,0.7,192.728862801692,26.10274555377927,330,dbscan_006,dbscan_noise_004
chi_clow_to_midway_0005,clow_to_midway,Clow International Airport to Midway International Airport,w_0005,0.0,0.0,0.4,0.6,192.43596958287765,26.11305103732628,329,dbscan_007,dbscan_noise_005
chi_clow_to_midway_0006,clow_to_midway,Clow International Airport to Midway International Airport,w_0006,0.0,0.0,0.5,0.5,194.9983101431952,25.760266129466125,334,dbscan_002,dbscan_001
chi_clow_to_midway_0007,clow_to_midway,Clow International Airport to Midway International Airport,w_0007,0.0,0.0,0.6,0.4,195.70541692437925,25.003448542091384,335,dbscan_002,dbscan_001
chi_clow_to_midway_0008,clow_to_midway,Clow International Airport to Midway International Airport,w_0008,0.0,0.0,0.7,0.3,195.70541692437925,24.105769855732163,335,dbscan_002,dbscan_001
chi_clow_to_midway_0009,clow_to_midway,Clow International Airport to Midway International Airport,w_0009,0.0,0.0,0.8,0.2,195.9983101431964,23.182551774604427,336,dbscan_002,dbscan_001
chi_clow_to_midway_0010,clow_to_midway,Clow International Airport to Midway International Airport,w_0010,0.0,0.0,0.9,0.1,195.41252370556992,22.216723291774255,334,dbscan_002,dbscan_001
