route_run_id,route_pair,route_pair_label,route_variant,traffic_dataset,weight_id,distance_weight,population_weight,traffic_weight,airspace_weight,barycentric_x,barycentric_y,barycentric_z
chi_clow_to_ohare_0001,clow_to_ohare,Clow International Airport to O'Hare International Airport,variant_043,ohare_2026-03-07_1s_15nm_bbox,w_0001,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0
chi_clow_to_ohare_0002,clow_to_ohare,Clow International Airport to O'Hare International Airport,variant_044,ohare_2026-03-07_1s_15nm_bbox,w_0002,0.0,0.0,0.1,0.9,-1.0,-0.8,0.8
chi_clow_to_ohare_0003,clow_to_ohare,Clow International Airport to O'Hare International Airport,variant_045,ohare_2026-03-07_1s_15nm_bbox,w_0003,0.0,0.0,0.2,0.8,-1.0,-0.6000000000000001,0.6000000000000001
chi_clow_to_ohare_0004,clow_to_ohare,Clow International Airport to O'Hare International Airport,variant_046,ohare_2026-03-07_1s_15nm_bbox,w_0004,0.0,0.0,0.3,0.7,-1.0,-0.39999999999999997,0.39999999999999997
chi_clow_to_ohare_0005,clow_to_ohare,Clow International Airport to O'Hare International Airport,variant_047,ohare_2026-03-07_1s_15nm_bbox,w_0005,0.0,0.0,0.4,0.6,-1.0,-0.19999999999999996,0.19999999999999996
chi_clow_to_ohare_0006,clow_to_ohare,Clow International Airport to O'Hare International Airport,variant_048,ohare_2026-03-07_1s_15nm_bbox,w_0006,0.0,0.0,0.5,0.5,-1.0,0.0,0.0
chi_clow_to_ohare_0007,clow_to_ohare,Clow International Airport to O'Hare International Airport,variant_049,ohare_2026-03-07_1s_15nm_bbox,w_0007,0.0,0.0,0.6,0.4,-1.0,0.19999999999999996,-0.19999999999999996
chi_clow_to_ohare_0008,clow_to_ohare,Clow International Airport to O'Hare International Airport,variant_050,ohare_2026-03-07_1s_15nm_bbox,w_0008,0.0,0.0,0.7,0.3,-1.0,0.39999999999999997,-0.39999999999999997
chi_clow_to_ohare_0009,clow_to_ohare,Clow International Airport to O'Hare International Airport,variant_051,ohare_2026-03-07_1s_15nm_bbox,w_0009,0.0,0.0,0.8,0.2,-1.0,0.6000000000000001,-0.6000000000000001
chi_clow_to_ohare_0010,clow_to_ohare,Clow International Airport to O'Hare International Airport,variant_052,ohare_2026-03-07_1s_15nm_bbox,w_0010,0.0,0.0,0.9,0.1,-1.0,0.8,-0.8
chi_clow_to_ohare_0011,clow_to_ohare,Clow International Airport to O'Hare International Airport,variant_053,ohare_2026-03-07_1s_15nm_bbox,w_0011,0.0,0.0,1.0,0.0,-1.0,1.0,-1.0
