,distance_only,population_only,traffic_only,airspace_only,equal_weight,distance_heavy,population_heavy,traffic_heavy,airspace_heavy,mixed_balanced
distance_only,1.0,0.02727272727272727,0.004576659038901602,0.0037735849056603774,0.023255813953488372,0.023255813953488372,0.013574660633484163,0.00468384074941452,0.006230529595015576,0.023255813953488372
population_only,0.02727272727272727,1.0,0.004514672686230248,0.0037313432835820895,0.11330049261083744,0.09178743961352658,0.17346938775510204,0.004618937644341801,0.009202453987730062,0.11330049261083744
traffic_only,0.004576659038901602,0.004514672686230248,1.0,0.004010695187165776,0.004576659038901602,0.004576659038901602,0.0045351473922902496,0.06930693069306931,0.028462998102466792,0.004576659038901602
airspace_only,0.0037735849056603774,0.0037313432835820895,0.004010695187165776,1.0,0.0037735849056603774,0.0037735849056603774,0.003745318352059925,0.005427408412483039,0.00315955766192733,0.0037735849056603774
equal_weight,0.023255813953488372,0.11330049261083744,0.004576659038901602,0.0037735849056603774,1.0,0.4666666666666667,0.2727272727272727,0.00468384074941452,0.05901639344262295,0.864406779661017
distance_heavy,0.023255813953488372,0.09178743961352658,0.004576659038901602,0.0037735849056603774,0.4666666666666667,1.0,0.0821256038647343,0.00468384074941452,0.006230529595015576,0.4864864864864865
population_heavy,0.013574660633484163,0.17346938775510204,0.0045351473922902496,0.003745318352059925,0.2727272727272727,0.0821256038647343,1.0,0.004640371229698376,0.03481012658227848,0.21739130434782608
traffic_heavy,0.00468384074941452,0.004618937644341801,0.06930693069306931,0.005427408412483039,0.00468384074941452,0.00468384074941452,0.004640371229698376,1.0,0.1565217391304348,0.00468384074941452
airspace_heavy,0.006230529595015576,0.009202453987730062,0.028462998102466792,0.00315955766192733,0.05901639344262295,0.006230529595015576,0.03481012658227848,0.1565217391304348,1.0,0.05555555555555555
mixed_balanced,0.023255813953488372,0.11330049261083744,0.004576659038901602,0.0037735849056603774,0.864406779661017,0.4864864864864865,0.21739130434782608,0.00468384074941452,0.05555555555555555,1.0
