cluster_id,cluster_size,pilot_name,route_run_id,weight_id,distance_weight,population_weight,traffic_weight,airspace_weight,route_distance_km,total_weighted_score,path_nodes,similarity_threshold
cluster_01,1,airspace_heavy,rr_0009,w_0078,0.1,0.1,0.1,0.7,125.11616442948169,38.26397653033112,213,0.25
cluster_02,1,airspace_only,rr_0004,w_0001,0.0,0.0,0.0,1.0,239.3501831452554,0.2065869623067159,422,0.25
cluster_03,4,distance_heavy,rr_0006,w_0272,0.7,0.1,0.1,0.1,65.6837661840797,79.98945398090403,110,0.25
cluster_03,4,equal_weight,rr_0005,w_0287,0.25,0.25,0.25,0.25,67.34062043356936,58.50037224089298,110,0.25
cluster_03,4,mixed_balanced,rr_0010,w_0142,0.2,0.2,0.3,0.3,68.16904755831501,55.883040788554375,110,0.25
cluster_03,4,population_heavy,rr_0007,w_0117,0.1,0.7,0.1,0.1,69.75483399593706,45.17602201229023,114,0.25
cluster_04,1,distance_only,rr_0001,w_0286,1.0,0.0,0.0,0.0,65.68376618405257,92.89087296453832,110,0.25
cluster_05,1,population_only,rr_0002,w_0066,0.0,1.0,0.0,0.0,74.89696961967374,33.474994527999215,116,0.25
cluster_06,1,traffic_heavy,rr_0008,w_0084,0.1,0.1,0.7,0.1,177.2877373047285,43.761303440784886,319,0.25
cluster_07,1,traffic_only,rr_0003,w_0011,0.0,0.0,1.0,0.0,195.93669976281373,11.521384484349458,329,0.25
