route_a,route_b,similarity,shared_node_count,union_node_count
equal_weight,mixed_balanced,0.864406779661017,102,118
distance_heavy,mixed_balanced,0.4864864864864865,72,148
equal_weight,distance_heavy,0.4666666666666667,70,150
equal_weight,population_heavy,0.2727272727272727,48,176
population_heavy,mixed_balanced,0.21739130434782608,40,184
population_only,population_heavy,0.17346938775510204,34,196
traffic_heavy,airspace_heavy,0.1565217391304348,72,460
population_only,mixed_balanced,0.11330049261083744,23,203
population_only,equal_weight,0.11330049261083744,23,203
population_only,distance_heavy,0.09178743961352658,19,207
distance_heavy,population_heavy,0.0821256038647343,17,207
traffic_only,traffic_heavy,0.06930693069306931,42,606
equal_weight,airspace_heavy,0.05901639344262295,18,305
airspace_heavy,mixed_balanced,0.05555555555555555,17,306
population_heavy,airspace_heavy,0.03481012658227848,11,316
traffic_only,airspace_heavy,0.028462998102466792,15,527
distance_only,population_only,0.02727272727272727,6,220
distance_only,equal_weight,0.023255813953488372,5,215
distance_only,distance_heavy,0.023255813953488372,5,215
distance_only,mixed_balanced,0.023255813953488372,5,215
distance_only,population_heavy,0.013574660633484163,3,221
population_only,airspace_heavy,0.009202453987730062,3,326
distance_only,airspace_heavy,0.006230529595015576,2,321
distance_heavy,airspace_heavy,0.006230529595015576,2,321
airspace_only,traffic_heavy,0.005427408412483039,4,737
distance_only,traffic_heavy,0.00468384074941452,2,427
distance_heavy,traffic_heavy,0.00468384074941452,2,427
traffic_heavy,mixed_balanced,0.00468384074941452,2,427
equal_weight,traffic_heavy,0.00468384074941452,2,427
population_heavy,traffic_heavy,0.004640371229698376,2,431
population_only,traffic_heavy,0.004618937644341801,2,433
traffic_only,equal_weight,0.004576659038901602,2,437
distance_only,traffic_only,0.004576659038901602,2,437
traffic_only,mixed_balanced,0.004576659038901602,2,437
traffic_only,distance_heavy,0.004576659038901602,2,437
traffic_only,population_heavy,0.0045351473922902496,2,441
population_only,traffic_only,0.004514672686230248,2,443
traffic_only,airspace_only,0.004010695187165776,3,748
distance_only,airspace_only,0.0037735849056603774,2,530
airspace_only,distance_heavy,0.0037735849056603774,2,530
airspace_only,equal_weight,0.0037735849056603774,2,530
airspace_only,mixed_balanced,0.0037735849056603774,2,530
airspace_only,population_heavy,0.003745318352059925,2,534
population_only,airspace_only,0.0037313432835820895,2,536
airspace_only,airspace_heavy,0.00315955766192733,2,633
