weight_id,distance_weight,population_weight,traffic_weight,airspace_weight,weight_sum,weight_set,weight_step,is_grid_weight,is_distance_only,is_population_only,is_traffic_only,is_airspace_only,is_equal_weight,is_current_ratio_baseline
w_0001,0.0,0.0,0.0,1.0,1.0,grid_0_10,0.1,True,False,False,False,True,False,False
w_0002,0.0,0.0,0.1,0.9,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0003,0.0,0.0,0.2,0.8,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0004,0.0,0.0,0.3,0.7,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0005,0.0,0.0,0.4,0.6,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0006,0.0,0.0,0.5,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0007,0.0,0.0,0.6,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0008,0.0,0.0,0.7,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0009,0.0,0.0,0.8,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0010,0.0,0.0,0.9,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0011,0.0,0.0,1.0,0.0,1.0,grid_0_10,0.1,True,False,False,True,False,False,False
w_0012,0.0,0.1,0.0,0.9,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0013,0.0,0.1,0.1,0.8,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0014,0.0,0.1,0.2,0.7,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0015,0.0,0.1,0.3,0.6,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0016,0.0,0.1,0.4,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0017,0.0,0.1,0.5,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0018,0.0,0.1,0.6,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0019,0.0,0.1,0.7,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0020,0.0,0.1,0.8,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0021,0.0,0.1,0.9,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0022,0.0,0.2,0.0,0.8,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0023,0.0,0.2,0.1,0.7,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0024,0.0,0.2,0.2,0.6,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0025,0.0,0.2,0.3,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0026,0.0,0.2,0.4,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0027,0.0,0.2,0.5,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0028,0.0,0.2,0.6,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0029,0.0,0.2,0.7,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0030,0.0,0.2,0.8,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0031,0.0,0.3,0.0,0.7,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0032,0.0,0.3,0.1,0.6,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0033,0.0,0.3,0.2,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0034,0.0,0.3,0.3,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0035,0.0,0.3,0.4,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0036,0.0,0.3,0.5,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0037,0.0,0.3,0.6,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0038,0.0,0.3,0.7,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0039,0.0,0.4,0.0,0.6,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0040,0.0,0.4,0.1,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0041,0.0,0.4,0.2,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0042,0.0,0.4,0.3,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0043,0.0,0.4,0.4,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0044,0.0,0.4,0.5,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0045,0.0,0.4,0.6,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0046,0.0,0.5,0.0,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0047,0.0,0.5,0.1,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0048,0.0,0.5,0.2,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0049,0.0,0.5,0.3,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0050,0.0,0.5,0.4,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0051,0.0,0.5,0.5,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0052,0.0,0.6,0.0,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0053,0.0,0.6,0.1,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0054,0.0,0.6,0.2,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0055,0.0,0.6,0.3,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0056,0.0,0.6,0.4,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0057,0.0,0.7,0.0,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0058,0.0,0.7,0.1,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0059,0.0,0.7,0.2,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0060,0.0,0.7,0.3,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0061,0.0,0.8,0.0,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0062,0.0,0.8,0.1,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0063,0.0,0.8,0.2,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0064,0.0,0.9,0.0,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0065,0.0,0.9,0.1,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0066,0.0,1.0,0.0,0.0,1.0,grid_0_10,0.1,True,False,True,False,False,False,False
w_0067,0.1,0.0,0.0,0.9,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0068,0.1,0.0,0.1,0.8,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0069,0.1,0.0,0.2,0.7,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0070,0.1,0.0,0.3,0.6,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0071,0.1,0.0,0.4,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0072,0.1,0.0,0.5,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0073,0.1,0.0,0.6,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0074,0.1,0.0,0.7,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0075,0.1,0.0,0.8,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0076,0.1,0.0,0.9,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0077,0.1,0.1,0.0,0.8,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0078,0.1,0.1,0.1,0.7,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0079,0.1,0.1,0.2,0.6,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0080,0.1,0.1,0.3,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0081,0.1,0.1,0.4,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0082,0.1,0.1,0.5,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0083,0.1,0.1,0.6,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0084,0.1,0.1,0.7,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0085,0.1,0.1,0.8,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0086,0.1,0.2,0.0,0.7,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0087,0.1,0.2,0.1,0.6,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0088,0.1,0.2,0.2,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0089,0.1,0.2,0.3,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0090,0.1,0.2,0.4,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0091,0.1,0.2,0.5,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0092,0.1,0.2,0.6,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0093,0.1,0.2,0.7,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0094,0.1,0.3,0.0,0.6,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0095,0.1,0.3,0.1,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0096,0.1,0.3,0.2,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0097,0.1,0.3,0.3,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0098,0.1,0.3,0.4,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0099,0.1,0.3,0.5,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0100,0.1,0.3,0.6,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0101,0.1,0.4,0.0,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0102,0.1,0.4,0.1,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0103,0.1,0.4,0.2,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0104,0.1,0.4,0.3,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0105,0.1,0.4,0.4,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0106,0.1,0.4,0.5,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0107,0.1,0.5,0.0,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0108,0.1,0.5,0.1,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0109,0.1,0.5,0.2,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0110,0.1,0.5,0.3,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0111,0.1,0.5,0.4,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0112,0.1,0.6,0.0,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0113,0.1,0.6,0.1,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0114,0.1,0.6,0.2,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0115,0.1,0.6,0.3,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0116,0.1,0.7,0.0,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0117,0.1,0.7,0.1,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0118,0.1,0.7,0.2,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0119,0.1,0.8,0.0,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0120,0.1,0.8,0.1,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0121,0.1,0.9,0.0,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0122,0.2,0.0,0.0,0.8,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0123,0.2,0.0,0.1,0.7,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0124,0.2,0.0,0.2,0.6,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0125,0.2,0.0,0.3,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0126,0.2,0.0,0.4,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0127,0.2,0.0,0.5,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0128,0.2,0.0,0.6,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0129,0.2,0.0,0.7,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0130,0.2,0.0,0.8,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0131,0.2,0.1,0.0,0.7,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0132,0.2,0.1,0.1,0.6,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0133,0.2,0.1,0.2,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0134,0.2,0.1,0.3,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0135,0.2,0.1,0.4,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0136,0.2,0.1,0.5,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0137,0.2,0.1,0.6,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0138,0.2,0.1,0.7,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0139,0.2,0.2,0.0,0.6,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0140,0.2,0.2,0.1,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0141,0.2,0.2,0.2,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0142,0.2,0.2,0.3,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0143,0.2,0.2,0.4,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0144,0.2,0.2,0.5,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0145,0.2,0.2,0.6,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0146,0.2,0.3,0.0,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0147,0.2,0.3,0.1,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0148,0.2,0.3,0.2,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0149,0.2,0.3,0.3,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0150,0.2,0.3,0.4,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0151,0.2,0.3,0.5,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0152,0.2,0.4,0.0,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0153,0.2,0.4,0.1,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0154,0.2,0.4,0.2,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0155,0.2,0.4,0.3,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0156,0.2,0.4,0.4,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0157,0.2,0.5,0.0,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0158,0.2,0.5,0.1,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0159,0.2,0.5,0.2,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0160,0.2,0.5,0.3,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0161,0.2,0.6,0.0,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0162,0.2,0.6,0.1,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0163,0.2,0.6,0.2,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0164,0.2,0.7,0.0,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0165,0.2,0.7,0.1,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0166,0.2,0.8,0.0,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0167,0.3,0.0,0.0,0.7,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0168,0.3,0.0,0.1,0.6,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0169,0.3,0.0,0.2,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0170,0.3,0.0,0.3,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0171,0.3,0.0,0.4,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0172,0.3,0.0,0.5,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0173,0.3,0.0,0.6,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0174,0.3,0.0,0.7,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0175,0.3,0.1,0.0,0.6,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0176,0.3,0.1,0.1,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0177,0.3,0.1,0.2,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0178,0.3,0.1,0.3,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0179,0.3,0.1,0.4,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0180,0.3,0.1,0.5,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0181,0.3,0.1,0.6,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0182,0.3,0.2,0.0,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0183,0.3,0.2,0.1,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0184,0.3,0.2,0.2,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0185,0.3,0.2,0.3,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0186,0.3,0.2,0.4,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0187,0.3,0.2,0.5,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0188,0.3,0.3,0.0,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0189,0.3,0.3,0.1,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0190,0.3,0.3,0.2,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0191,0.3,0.3,0.3,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0192,0.3,0.3,0.4,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0193,0.3,0.4,0.0,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0194,0.3,0.4,0.1,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0195,0.3,0.4,0.2,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0196,0.3,0.4,0.3,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0197,0.3,0.5,0.0,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0198,0.3,0.5,0.1,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0199,0.3,0.5,0.2,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0200,0.3,0.6,0.0,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0201,0.3,0.6,0.1,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0202,0.3,0.7,0.0,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0203,0.4,0.0,0.0,0.6,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0204,0.4,0.0,0.1,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0205,0.4,0.0,0.2,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0206,0.4,0.0,0.3,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0207,0.4,0.0,0.4,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0208,0.4,0.0,0.5,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0209,0.4,0.0,0.6,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0210,0.4,0.1,0.0,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0211,0.4,0.1,0.1,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0212,0.4,0.1,0.2,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0213,0.4,0.1,0.3,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0214,0.4,0.1,0.4,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0215,0.4,0.1,0.5,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0216,0.4,0.2,0.0,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0217,0.4,0.2,0.1,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0218,0.4,0.2,0.2,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0219,0.4,0.2,0.3,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0220,0.4,0.2,0.4,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0221,0.4,0.3,0.0,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0222,0.4,0.3,0.1,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0223,0.4,0.3,0.2,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0224,0.4,0.3,0.3,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0225,0.4,0.4,0.0,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0226,0.4,0.4,0.1,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0227,0.4,0.4,0.2,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0228,0.4,0.5,0.0,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0229,0.4,0.5,0.1,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0230,0.4,0.6,0.0,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0231,0.5,0.0,0.0,0.5,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0232,0.5,0.0,0.1,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0233,0.5,0.0,0.2,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0234,0.5,0.0,0.3,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0235,0.5,0.0,0.4,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0236,0.5,0.0,0.5,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0237,0.5,0.1,0.0,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0238,0.5,0.1,0.1,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0239,0.5,0.1,0.2,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0240,0.5,0.1,0.3,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0241,0.5,0.1,0.4,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0242,0.5,0.2,0.0,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0243,0.5,0.2,0.1,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0244,0.5,0.2,0.2,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0245,0.5,0.2,0.3,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0246,0.5,0.3,0.0,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0247,0.5,0.3,0.1,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0248,0.5,0.3,0.2,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0249,0.5,0.4,0.0,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0250,0.5,0.4,0.1,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0251,0.5,0.5,0.0,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0252,0.6,0.0,0.0,0.4,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0253,0.6,0.0,0.1,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0254,0.6,0.0,0.2,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0255,0.6,0.0,0.3,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0256,0.6,0.0,0.4,0.0,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0257,0.6,0.1,0.0,0.3,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0258,0.6,0.1,0.1,0.2,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
w_0259,0.6,0.1,0.2,0.1,1.0,grid_0_10,0.1,True,False,False,False,False,False,False
