"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US29","Missouri","6191814","*****",
"1500000US290019501001","Block Group 1; Census Tract 9501; Adair County; Missouri","1081","263",
"1500000US290019501002","Block Group 2; Census Tract 9501; Adair County; Missouri","1551","329",
"1500000US290019501003","Block Group 3; Census Tract 9501; Adair County; Missouri","1205","307",
"1500000US290019502001","Block Group 1; Census Tract 9502; Adair County; Missouri","771","182",
"1500000US290019502002","Block Group 2; Census Tract 9502; Adair County; Missouri","905","211",
"1500000US290019502003","Block Group 3; Census Tract 9502; Adair County; Missouri","1124","255",
"1500000US290019503001","Block Group 1; Census Tract 9503; Adair County; Missouri","714","215",
"1500000US290019503002","Block Group 2; Census Tract 9503; Adair County; Missouri","622","232",
"1500000US290019503003","Block Group 3; Census Tract 9503; Adair County; Missouri","980","424",
"1500000US290019503004","Block Group 4; Census Tract 9503; Adair County; Missouri","643","229",
"1500000US290019504001","Block Group 1; Census Tract 9504; Adair County; Missouri","1295","308",
"1500000US290019504002","Block Group 2; Census Tract 9504; Adair County; Missouri","1898","368",
"1500000US290019504003","Block Group 3; Census Tract 9504; Adair County; Missouri","1031","290",
"1500000US290019505011","Block Group 1; Census Tract 9505.01; Adair County; Missouri","1814","452",
"1500000US290019505012","Block Group 2; Census Tract 9505.01; Adair County; Missouri","532","183",
"1500000US290019505013","Block Group 3; Census Tract 9505.01; Adair County; Missouri","1545","332",
"1500000US290019505021","Block Group 1; Census Tract 9505.02; Adair County; Missouri","1034","319",
"1500000US290019505022","Block Group 2; Census Tract 9505.02; Adair County; Missouri","1247","427",
"1500000US290019505023","Block Group 3; Census Tract 9505.02; Adair County; Missouri","1282","349",
"1500000US290019509001","Block Group 1; Census Tract 9509; Adair County; Missouri","693","245",
"1500000US290019509002","Block Group 2; Census Tract 9509; Adair County; Missouri","1100","443",
"1500000US290019509003","Block Group 3; Census Tract 9509; Adair County; Missouri","542","279",
"1500000US290019510001","Block Group 1; Census Tract 9510; Adair County; Missouri","1692","177",
"1500000US290030101001","Block Group 1; Census Tract 101; Andrew County; Missouri","1504","340",
"1500000US290030101002","Block Group 2; Census Tract 101; Andrew County; Missouri","2281","459",
"1500000US290030101003","Block Group 3; Census Tract 101; Andrew County; Missouri","1789","301",
"1500000US290030101004","Block Group 4; Census Tract 101; Andrew County; Missouri","927","291",
"1500000US290030102011","Block Group 1; Census Tract 102.01; Andrew County; Missouri","860","316",
"1500000US290030102012","Block Group 2; Census Tract 102.01; Andrew County; Missouri","935","232",
"1500000US290030102013","Block Group 3; Census Tract 102.01; Andrew County; Missouri","2131","396",
"1500000US290030102021","Block Group 1; Census Tract 102.02; Andrew County; Missouri","785","225",
"1500000US290030102022","Block Group 2; Census Tract 102.02; Andrew County; Missouri","1794","383",
"1500000US290030103001","Block Group 1; Census Tract 103; Andrew County; Missouri","803","203",
"1500000US290030103002","Block Group 2; Census Tract 103; Andrew County; Missouri","1312","200",
"1500000US290030104001","Block Group 1; Census Tract 104; Andrew County; Missouri","980","204",
"1500000US290030104002","Block Group 2; Census Tract 104; Andrew County; Missouri","807","133",
"1500000US290030104003","Block Group 3; Census Tract 104; Andrew County; Missouri","1157","285",
"1500000US290059501001","Block Group 1; Census Tract 9501; Atchison County; Missouri","571","123",
"1500000US290059501002","Block Group 2; Census Tract 9501; Atchison County; Missouri","833","148",
"1500000US290059501003","Block Group 3; Census Tract 9501; Atchison County; Missouri","735","144",
"1500000US290059501004","Block Group 4; Census Tract 9501; Atchison County; Missouri","749","117",
"1500000US290059502001","Block Group 1; Census Tract 9502; Atchison County; Missouri","1002","183",
"1500000US290059502002","Block Group 2; Census Tract 9502; Atchison County; Missouri","545","177",
"1500000US290059502003","Block Group 3; Census Tract 9502; Atchison County; Missouri","752","121",
"1500000US290079501001","Block Group 1; Census Tract 9501; Audrain County; Missouri","741","164",
"1500000US290079501002","Block Group 2; Census Tract 9501; Audrain County; Missouri","1787","178",
"1500000US290079501003","Block Group 3; Census Tract 9501; Audrain County; Missouri","710","155",
"1500000US290079502001","Block Group 1; Census Tract 9502; Audrain County; Missouri","527","182",
"1500000US290079502002","Block Group 2; Census Tract 9502; Audrain County; Missouri","533","154",
"1500000US290079502003","Block Group 3; Census Tract 9502; Audrain County; Missouri","1377","294",
"1500000US290079502004","Block Group 4; Census Tract 9502; Audrain County; Missouri","462","122",
"1500000US290079502005","Block Group 5; Census Tract 9502; Audrain County; Missouri","1723","376",
"1500000US290079503001","Block Group 1; Census Tract 9503; Audrain County; Missouri","1648","350",
"1500000US290079503002","Block Group 2; Census Tract 9503; Audrain County; Missouri","955","321",
"1500000US290079503003","Block Group 3; Census Tract 9503; Audrain County; Missouri","1355","350",
"1500000US290079504001","Block Group 1; Census Tract 9504; Audrain County; Missouri","515","178",
"1500000US290079504002","Block Group 2; Census Tract 9504; Audrain County; Missouri","871","329",
"1500000US290079504003","Block Group 3; Census Tract 9504; Audrain County; Missouri","1367","372",
"1500000US290079505001","Block Group 1; Census Tract 9505; Audrain County; Missouri","1928","429",
"1500000US290079505002","Block Group 2; Census Tract 9505; Audrain County; Missouri","352","187",
"1500000US290079505003","Block Group 3; Census Tract 9505; Audrain County; Missouri","642","251",
"1500000US290079505004","Block Group 4; Census Tract 9505; Audrain County; Missouri","699","212",
"1500000US290079506001","Block Group 1; Census Tract 9506; Audrain County; Missouri","1068","330",
"1500000US290079506002","Block Group 2; Census Tract 9506; Audrain County; Missouri","1640","417",
"1500000US290079507001","Block Group 1; Census Tract 9507; Audrain County; Missouri","1019","328",
"1500000US290079507002","Block Group 2; Census Tract 9507; Audrain County; Missouri","362","129",
"1500000US290079507003","Block Group 3; Census Tract 9507; Audrain County; Missouri","608","229",
"1500000US290079507004","Block Group 4; Census Tract 9507; Audrain County; Missouri","1659","501",
"1500000US290099601011","Block Group 1; Census Tract 9601.01; Barry County; Missouri","1039","258",
"1500000US290099601012","Block Group 2; Census Tract 9601.01; Barry County; Missouri","1499","434",
"1500000US290099601021","Block Group 1; Census Tract 9601.02; Barry County; Missouri","1066","375",
"1500000US290099601022","Block Group 2; Census Tract 9601.02; Barry County; Missouri","499","194",
"1500000US290099601023","Block Group 3; Census Tract 9601.02; Barry County; Missouri","1110","276",
"1500000US290099602011","Block Group 1; Census Tract 9602.01; Barry County; Missouri","637","252",
