clustering_method,distance_method,route_run_id,route_pair,route_pair_label,weight_id,distance_weight,population_weight,traffic_weight,airspace_weight,route_distance_km,total_weighted_score,path_nodes,direct_cluster_number,hierarchical_jaccard_cluster,hierarchical_jaccard_cluster_source
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0067,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0067,0.1,0.0,0.0,0.9,71.90057520712594,49.49312327714821,96,6,hier_jaccard_006,hier_jaccard_013
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0068,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0068,0.1,0.0,0.1,0.8,73.505779704144,47.29423666910466,96,6,hier_jaccard_006,hier_jaccard_013
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0077,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0077,0.1,0.1,0.0,0.8,74.42461752704692,47.89368615676638,97,5,hier_jaccard_005,hier_jaccard_007
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0078,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0078,0.1,0.1,0.1,0.7,77.09421693691067,45.89121165925381,97,1,hier_jaccard_001,hier_jaccard_002
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0079,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0079,0.1,0.1,0.2,0.6,74.4339828700428,42.47780375234461,97,1,hier_jaccard_001,hier_jaccard_002
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0086,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0086,0.1,0.2,0.0,0.7,74.42461752704692,45.296461856285696,97,5,hier_jaccard_005,hier_jaccard_007
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0087,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0087,0.1,0.2,0.1,0.6,73.89955038675008,43.27399682984104,97,1,hier_jaccard_001,hier_jaccard_002
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0088,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0088,0.1,0.2,0.2,0.5,74.4339828700428,39.8231292946864,97,1,hier_jaccard_001,hier_jaccard_002
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0094,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0094,0.1,0.3,0.0,0.6,74.42461752704692,42.69923755580501,97,5,hier_jaccard_005,hier_jaccard_007
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0095,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0095,0.1,0.3,0.1,0.5,73.89955038675008,40.5612636922096,97,1,hier_jaccard_001,hier_jaccard_002
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0096,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0096,0.1,0.3,0.2,0.4,75.55890794139444,37.16224728913364,100,1,hier_jaccard_001,hier_jaccard_002
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0101,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0101,0.1,0.4,0.0,0.5,93.2818575741698,39.80565152535856,119,12,hier_jaccard_012,hier_jaccard_010
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0102,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0102,0.1,0.4,0.1,0.4,90.25855588936174,37.64444332324328,118,12,hier_jaccard_012,hier_jaccard_010
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0107,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0107,0.1,0.5,0.0,0.4,90.09224420146406,36.159521947614806,119,12,hier_jaccard_012,hier_jaccard_010
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0108,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0108,0.1,0.5,0.1,0.3,91.69646697589766,33.99454566411376,119,12,hier_jaccard_012,hier_jaccard_010
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0112,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0112,0.1,0.6,0.0,0.3,90.0929044869205,32.40865752082237,119,12,hier_jaccard_012,hier_jaccard_010
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0113,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0113,0.1,0.6,0.1,0.2,91.16400210626472,30.225621462307856,119,12,hier_jaccard_012,hier_jaccard_010
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0116,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0116,0.1,0.7,0.0,0.2,90.0929044869205,28.597549313823983,119,12,hier_jaccard_012,hier_jaccard_010
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0122,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0122,0.2,0.0,0.0,0.8,71.90057520712594,52.78624655429639,96,6,hier_jaccard_006,hier_jaccard_013
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0123,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0123,0.2,0.0,0.1,0.7,71.90290045169874,50.60980064215208,96,6,hier_jaccard_006,hier_jaccard_013
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0124,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0124,0.2,0.0,0.2,0.6,72.99122058778953,48.09879172585308,96,1,hier_jaccard_001,hier_jaccard_002
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0125,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0125,0.2,0.0,0.3,0.5,72.99122058778953,44.59503173436787,96,1,hier_jaccard_001,hier_jaccard_002
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0126,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0126,0.2,0.0,0.4,0.4,73.52510754657048,41.0582932422534,96,1,hier_jaccard_001,hier_jaccard_002
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0131,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0131,0.2,0.1,0.0,0.7,73.35714512830332,51.307063359196015,97,5,hier_jaccard_005,hier_jaccard_007
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0132,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0132,0.2,0.1,0.1,0.6,73.36711649261086,49.160405508471726,97,1,hier_jaccard_001,hier_jaccard_002
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0133,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0133,0.2,0.1,0.2,0.5,72.99215841467418,45.69386426631191,96,1,hier_jaccard_001,hier_jaccard_002
