clustering_method,distance_method,route_run_id,route_pair,route_pair_label,weight_id,distance_weight,population_weight,traffic_weight,airspace_weight,route_distance_km,total_weighted_score,path_nodes,direct_cluster_number,hierarchical_jaccard_cluster,hierarchical_jaccard_cluster_source,representative_route_run_id,representative_mean_frechet_miles,cluster_size,cluster_weight_space_percent,merged_cluster_id,source_jaccard_clusters
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-12_0147,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0147,0.2,0.3,0.1,0.4,72.84426086307762,44.86397028212836,97,2,hier_jaccard_002,hier_jaccard_002,stl_midamerica_to_st_louis_lambert_2025-07-12_0147,0.811155176355176,54,28.272251308900522,frechet_merged_001,hier_jaccard_002
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-12_0155,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0155,0.2,0.4,0.3,0.1,85.93972278716788,35.621838804714585,109,3,hier_jaccard_003,hier_jaccard_003,stl_midamerica_to_st_louis_lambert_2025-07-12_0155,0.9113840674911703,30,15.706806282722512,frechet_merged_002,hier_jaccard_003
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-12_0124,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0124,0.2,0.0,0.2,0.6,71.90850215806387,49.49476551719833,96,4,hier_jaccard_004,hier_jaccard_006,stl_midamerica_to_st_louis_lambert_2025-07-12_0124,2.649973033897884,27,14.136125654450261,frechet_merged_003,hier_jaccard_004
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-12_0226,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0226,0.4,0.4,0.0,0.2,73.20963090489165,49.12283602550907,98,5,hier_jaccard_005,hier_jaccard_004,stl_midamerica_to_st_louis_lambert_2025-07-12_0226,0.999128075167868,24,12.565445026178011,frechet_merged_004,hier_jaccard_005
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-12_0183,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0183,0.3,0.2,0.0,0.5,72.29260468015718,52.14938056079359,97,6,hier_jaccard_006,hier_jaccard_007,stl_midamerica_to_st_louis_lambert_2025-07-12_0183,0.6239213250120216,15,7.853403141361256,frechet_merged_005,hier_jaccard_006
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-12_0174,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0174,0.3,0.0,0.6,0.1,85.39910540064334,38.16865842209058,109,7,hier_jaccard_007,hier_jaccard_005,stl_midamerica_to_st_louis_lambert_2025-07-12_0174,1.7377517881251072,14,7.329842931937173,frechet_merged_006,hier_jaccard_007
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-12_0140,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0140,0.2,0.2,0.1,0.5,74.42718668831178,47.53727703523005,97,9,hier_jaccard_009,hier_jaccard_008,stl_midamerica_to_st_louis_lambert_2025-07-12_0140,0.9475478212626861,10,5.2356020942408374,frechet_merged_007,hier_jaccard_009
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-12_0256,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0256,0.6,0.0,0.3,0.1,72.49092373442213,59.07693083711396,96,11,hier_jaccard_011,hier_jaccard_014,stl_midamerica_to_st_louis_lambert_2025-07-12_0256,1.0763274022712732,8,4.18848167539267,frechet_merged_008,hier_jaccard_011
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-12_0112,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0112,0.1,0.6,0.0,0.3,90.0929044869205,32.40865752082237,119,13,hier_jaccard_013,hier_jaccard_011,stl_midamerica_to_st_louis_lambert_2025-07-12_0112,1.6336877902928246,6,3.141361256544503,frechet_merged_009,hier_jaccard_013
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-12_0215,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0215,0.4,0.1,0.4,0.1,79.02911360039077,48.089703568574805,102,16,hier_jaccard_016,hier_jaccard_016,stl_midamerica_to_st_louis_lambert_2025-07-12_0215,0.8432028688469398,3,1.5706806282722514,frechet_merged_010,hier_jaccard_016
