clustering_method,distance_method,route_run_id,route_pair,route_pair_label,weight_id,distance_weight,population_weight,traffic_weight,airspace_weight,route_distance_km,total_weighted_score,path_nodes,direct_cluster_number,hierarchical_jaccard_cluster,hierarchical_jaccard_cluster_source
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0067,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0067,0.1,0.0,0.0,0.9,71.90057520712594,49.49312327714821,96,6,hier_jaccard_006,hier_jaccard_010
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0068,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0068,0.1,0.0,0.1,0.8,75.64054739347988,46.62832265064273,96,6,hier_jaccard_006,hier_jaccard_010
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0069,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0069,0.1,0.0,0.2,0.7,76.70620845323687,43.28710374876925,96,6,hier_jaccard_006,hier_jaccard_010
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0070,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0070,0.1,0.0,0.3,0.6,77.25280086361778,39.77851971054898,96,4,hier_jaccard_004,hier_jaccard_005
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0071,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0071,0.1,0.0,0.4,0.5,75.65653995964541,35.675279385184,96,4,hier_jaccard_004,hier_jaccard_005
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0072,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0072,0.1,0.0,0.5,0.4,75.65653995964541,31.39747635955397,96,4,hier_jaccard_004,hier_jaccard_005
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0073,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0073,0.1,0.0,0.6,0.3,74.59112005463895,27.04137596325099,96,4,hier_jaccard_004,hier_jaccard_005
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0077,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0077,0.1,0.1,0.0,0.8,74.42461752704692,47.89368615676638,97,7,hier_jaccard_007,hier_jaccard_006
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0078,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0078,0.1,0.1,0.1,0.7,78.69216030746347,45.41221101117295,97,5,hier_jaccard_005,hier_jaccard_003
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0079,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0079,0.1,0.1,0.2,0.6,77.09740364439503,41.6642392917469,97,5,hier_jaccard_005,hier_jaccard_003
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0080,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0080,0.1,0.1,0.3,0.5,76.5662930401423,37.70852689513893,97,5,hier_jaccard_005,hier_jaccard_003
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0081,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0081,0.1,0.1,0.4,0.4,76.0351879515404,33.561037822044234,97,5,hier_jaccard_005,hier_jaccard_003
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0082,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0082,0.1,0.1,0.5,0.3,74.96976804653391,29.31283051092637,97,5,hier_jaccard_005,hier_jaccard_003
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0086,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0086,0.1,0.2,0.0,0.7,74.42461752704692,45.296461856285696,97,7,hier_jaccard_007,hier_jaccard_006
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0087,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0087,0.1,0.2,0.1,0.6,77.09944202609978,42.92551850691813,97,5,hier_jaccard_005,hier_jaccard_003
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0088,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0088,0.1,0.2,0.2,0.5,77.10096765041901,39.08992185925463,97,5,hier_jaccard_005,hier_jaccard_003
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0089,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0089,0.1,0.2,0.3,0.4,77.1037911894865,35.09715758302603,97,5,hier_jaccard_005,hier_jaccard_003
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0090,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0090,0.1,0.2,0.4,0.3,76.03837128448004,30.90003966954989,97,5,hier_jaccard_005,hier_jaccard_003
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0091,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0091,0.1,0.2,0.5,0.2,80.94992760321158,26.34399846214464,103,1,hier_jaccard_001,hier_jaccard_001
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0094,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0094,0.1,0.3,0.0,0.6,74.42461752704692,42.69923755580501,97,7,hier_jaccard_007,hier_jaccard_006
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0095,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0095,0.1,0.3,0.1,0.5,76.56948084184586,40.11710365645007,97,1,hier_jaccard_001,hier_jaccard_001
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0096,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0096,0.1,0.3,0.2,0.4,74.4439282714323,36.1480842180758,97,1,hier_jaccard_001,hier_jaccard_001
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0097,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0097,0.1,0.3,0.3,0.3,75.35390027632205,32.01875178233309,98,1,hier_jaccard_001,hier_jaccard_001
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2025-07-14_0098,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0098,0.1,0.3,0.4,0.2,82.55254243408268,27.427694085668,103,1,hier_jaccard_001,hier_jaccard_001
