clustering_method,distance_method,route_run_id,route_pair,route_pair_label,weight_id,distance_weight,population_weight,traffic_weight,airspace_weight,route_distance_km,total_weighted_score,path_nodes,direct_cluster_number,hierarchical_jaccard_cluster,hierarchical_jaccard_cluster_source
hierarchical_jaccard,jaccard,stl_st_louis_downtown_airport_to_st_louis_lambert_2025-07-14_0001,st_louis_downtown_airport_to_st_louis_lambert,St. Louis Downtown Airport to St. Louis Lambert,w_0001,0.0,0.0,0.0,1.0,35.06847425714207,33.400000000000006,40,1,hier_jaccard_001,hier_jaccard_002
hierarchical_jaccard,jaccard,stl_st_louis_downtown_airport_to_st_louis_lambert_2025-07-14_0002,st_louis_downtown_airport_to_st_louis_lambert,St. Louis Downtown Airport to St. Louis Lambert,w_0002,0.0,0.0,0.1,0.9,35.06847425714207,31.18897934059121,40,1,hier_jaccard_001,hier_jaccard_002
hierarchical_jaccard,jaccard,stl_st_louis_downtown_airport_to_st_louis_lambert_2025-07-14_0003,st_louis_downtown_airport_to_st_louis_lambert,St. Louis Downtown Airport to St. Louis Lambert,w_0003,0.0,0.0,0.2,0.8,35.06847425714207,28.97795868118241,40,1,hier_jaccard_001,hier_jaccard_002
hierarchical_jaccard,jaccard,stl_st_louis_downtown_airport_to_st_louis_lambert_2025-07-14_0004,st_louis_downtown_airport_to_st_louis_lambert,St. Louis Downtown Airport to St. Louis Lambert,w_0004,0.0,0.0,0.3,0.7,35.06847425714207,26.76693802177361,40,1,hier_jaccard_001,hier_jaccard_002
hierarchical_jaccard,jaccard,stl_st_louis_downtown_airport_to_st_louis_lambert_2025-07-14_0005,st_louis_downtown_airport_to_st_louis_lambert,St. Louis Downtown Airport to St. Louis Lambert,w_0005,0.0,0.0,0.4,0.6,35.06847425714207,24.55591736236482,40,1,hier_jaccard_001,hier_jaccard_002
hierarchical_jaccard,jaccard,stl_st_louis_downtown_airport_to_st_louis_lambert_2025-07-14_0006,st_louis_downtown_airport_to_st_louis_lambert,St. Louis Downtown Airport to St. Louis Lambert,w_0006,0.0,0.0,0.5,0.5,35.06847425714207,22.34489670295602,40,1,hier_jaccard_001,hier_jaccard_002
hierarchical_jaccard,jaccard,stl_st_louis_downtown_airport_to_st_louis_lambert_2025-07-14_0007,st_louis_downtown_airport_to_st_louis_lambert,St. Louis Downtown Airport to St. Louis Lambert,w_0007,0.0,0.0,0.6,0.4,35.81855278369794,20.01396675636217,42,1,hier_jaccard_001,hier_jaccard_002
hierarchical_jaccard,jaccard,stl_st_louis_downtown_airport_to_st_louis_lambert_2025-07-14_0012,st_louis_downtown_airport_to_st_louis_lambert,St. Louis Downtown Airport to St. Louis Lambert,w_0012,0.0,0.1,0.0,0.9,35.06932923764436,32.5387572976017,40,1,hier_jaccard_001,hier_jaccard_002
hierarchical_jaccard,jaccard,stl_st_louis_downtown_airport_to_st_louis_lambert_2025-07-14_0013,st_louis_downtown_airport_to_st_louis_lambert,St. Louis Downtown Airport to St. Louis Lambert,w_0013,0.0,0.1,0.1,0.8,35.06847425714207,30.45136085230626,40,1,hier_jaccard_001,hier_jaccard_002
hierarchical_jaccard,jaccard,stl_st_louis_downtown_airport_to_st_louis_lambert_2025-07-14_0014,st_louis_downtown_airport_to_st_louis_lambert,St. Louis Downtown Airport to St. Louis Lambert,w_0014,0.0,0.1,0.2,0.7,35.06847425714207,28.24034019289746,40,1,hier_jaccard_001,hier_jaccard_002
