clustering_method,distance_method,route_run_id,route_pair,route_pair_label,weight_id,distance_weight,population_weight,traffic_weight,airspace_weight,route_distance_km,total_weighted_score,path_nodes,direct_cluster_number,hierarchical_jaccard_cluster,hierarchical_jaccard_cluster_source
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0067,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0067,0.1,0.0,0.0,0.9,46.683328700980354,25.4778022211132,67,3,hier_jaccard_003,hier_jaccard_004
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0068,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0068,0.1,0.0,0.1,0.8,48.81678601447848,23.98048138482386,67,3,hier_jaccard_003,hier_jaccard_004
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0069,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0069,0.1,0.0,0.2,0.7,48.81678601447848,22.24835977427632,67,3,hier_jaccard_003,hier_jaccard_004
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0070,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0070,0.1,0.0,0.3,0.6,48.81678601447848,20.51623816372877,67,3,hier_jaccard_003,hier_jaccard_004
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0071,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0071,0.1,0.0,0.4,0.5,48.81678601447848,18.784116553181224,67,3,hier_jaccard_003,hier_jaccard_004
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0072,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0072,0.1,0.0,0.5,0.4,48.81678601447848,17.051994942633677,67,3,hier_jaccard_003,hier_jaccard_004
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0073,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0073,0.1,0.0,0.6,0.3,48.81678601447848,15.319873332086132,67,3,hier_jaccard_003,hier_jaccard_004
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0074,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0074,0.1,0.0,0.7,0.2,48.81678601447848,13.587751721538588,67,3,hier_jaccard_003,hier_jaccard_004
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0075,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0075,0.1,0.0,0.8,0.1,49.53534294048716,10.722232760869352,69,6,hier_jaccard_006,hier_jaccard_008
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0076,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0076,0.1,0.0,0.9,0.0,49.00456878084652,7.0926361232415385,69,6,hier_jaccard_006,hier_jaccard_008
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0077,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0077,0.1,0.1,0.0,0.8,50.26499556893611,25.05124017127677,68,2,hier_jaccard_002,hier_jaccard_001
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0078,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0078,0.1,0.1,0.1,0.7,50.26344452361193,23.84306494675011,68,2,hier_jaccard_002,hier_jaccard_001
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0079,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0079,0.1,0.1,0.2,0.6,51.86097293666311,22.297324911527543,68,2,hier_jaccard_002,hier_jaccard_001
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0080,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0080,0.1,0.1,0.3,0.5,52.92598546398779,20.614447233799623,68,2,hier_jaccard_002,hier_jaccard_001
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0081,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0081,0.1,0.1,0.4,0.4,52.92598546398779,18.88937359757265,68,2,hier_jaccard_002,hier_jaccard_001
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0082,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0082,0.1,0.1,0.5,0.3,52.39778330524177,17.140856821826972,68,2,hier_jaccard_002,hier_jaccard_001
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0086,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0086,0.1,0.2,0.0,0.7,50.79822797046764,24.213670939905384,68,2,hier_jaccard_002,hier_jaccard_001
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0087,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0087,0.1,0.2,0.1,0.6,51.33027476792323,23.098994100067983,68,2,hier_jaccard_002,hier_jaccard_001
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0088,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0088,0.1,0.2,0.2,0.5,51.86331908446357,21.66484761522149,68,2,hier_jaccard_002,hier_jaccard_001
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0089,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0089,0.1,0.2,0.3,0.4,52.39778330524177,19.98199743035184,68,2,hier_jaccard_002,hier_jaccard_001
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-09_0094,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0094,0.1,0.3,0.0,0.6,50.79822797046764,23.35516966162613,68,2,hier_jaccard_002,hier_jaccard_001
