route_pair,clustering_method,distance_method,selected_cluster_numbers,selected_cluster_count,selected_route_count,cluster_sizes,csv_file,geojson_file
midamerica_to_st_louis_lambert,dbscan_frechet,frechet,"01, 02, 03, 04, 05, 06, 14, 26, 29, 61, 72",11,152,001=34; 002=22; 003=22; 004=21; 005=21; 006=20; 014=6; 026=2; 029=2; 061=1; 072=1,midamerica_to_st_louis_lambert_dbscan_frechet.csv,midamerica_to_st_louis_lambert_dbscan_frechet.geojson
midamerica_to_st_louis_lambert,hierarchical_edit_distance,edit_distance,"03, 01, 02, 04, 05, 07, 12, 19, 17, 25, 31, 38, 39, 34, 35, 40, 52, 53, 54",19,147,001=21; 002=21; 003=21; 004=16; 005=15; 007=13; 012=8; 017=6; 019=6; 025=4; 031=3; 034=2; 035=2; 038=2; 039=2; 040=2; 052=1; 053=1; 054=1,midamerica_to_st_louis_lambert_hierarchical_edit_distance.csv,midamerica_to_st_louis_lambert_hierarchical_edit_distance.geojson
midamerica_to_st_louis_lambert,hierarchical_frechet,frechet,"01, 02, 03, 04, 05, 07, 10, 12, 16, 20, 22, 24, 29, 43, 44, 61",16,153,001=34; 002=21; 003=18; 004=15; 005=12; 007=10; 010=9; 012=7; 016=6; 020=5; 022=4; 024=4; 029=3; 043=2; 044=2; 061=1,midamerica_to_st_louis_lambert_hierarchical_frechet.csv,midamerica_to_st_louis_lambert_hierarchical_frechet.geojson
midamerica_to_st_louis_lambert,hierarchical_jaccard,jaccard,"01, 02, 04, 05, 08, 16, 19",7,150,001=44; 002=41; 004=24; 005=21; 008=14; 016=3; 019=3,midamerica_to_st_louis_lambert_hierarchical_jaccard.csv,midamerica_to_st_louis_lambert_hierarchical_jaccard.geojson
midamerica_to_st_louis_union_station,dbscan_frechet,frechet,"01, 03, 10, 22, 38, 39",6,120,001=81; 003=28; 010=7; 022=2; 038=1; 039=1,midamerica_to_st_louis_union_station_dbscan_frechet.csv,midamerica_to_st_louis_union_station_dbscan_frechet.geojson
midamerica_to_st_louis_union_station,hierarchical_edit_distance,edit_distance,"02, 06, 09, 13, 12, 14, 16, 18, 22, 23, 27, 25, 28",13,100,002=24; 006=14; 009=10; 012=7; 013=7; 014=6; 016=6; 018=6; 022=5; 023=4; 025=4; 027=4; 028=3,midamerica_to_st_louis_union_station_hierarchical_edit_distance.csv,midamerica_to_st_louis_union_station_hierarchical_edit_distance.geojson
midamerica_to_st_louis_union_station,hierarchical_frechet,frechet,"02, 03, 04, 05, 13, 30, 31",7,102,002=37; 003=24; 004=18; 005=14; 013=7; 030=1; 031=1,midamerica_to_st_louis_union_station_hierarchical_frechet.csv,midamerica_to_st_louis_union_station_hierarchical_frechet.geojson
midamerica_to_st_louis_union_station,hierarchical_jaccard,jaccard,"02, 04, 07, 08, 13, 21",6,104,002=38; 004=27; 007=17; 008=14; 013=7; 021=1,midamerica_to_st_louis_union_station_hierarchical_jaccard.csv,midamerica_to_st_louis_union_station_hierarchical_jaccard.geojson
st_louis_downtown_airport_to_st_louis_lambert,dbscan_frechet,frechet,"01, 02, 05",3,264,001=231; 002=31; 005=2,st_louis_downtown_airport_to_st_louis_lambert_dbscan_frechet.csv,st_louis_downtown_airport_to_st_louis_lambert_dbscan_frechet.geojson
st_louis_downtown_airport_to_st_louis_lambert,hierarchical_edit_distance,edit_distance,"01, 02, 03, 05, 06, 08, 07, 09, 10, 11, 13",11,265,001=95; 002=80; 003=26; 005=13; 006=11; 007=10; 008=10; 009=8; 010=5; 011=4; 013=3,st_louis_downtown_airport_to_st_louis_lambert_hierarchical_edit_distance.csv,st_louis_downtown_airport_to_st_louis_lambert_hierarchical_edit_distance.geojson
st_louis_downtown_airport_to_st_louis_lambert,hierarchical_frechet,frechet,"01, 02, 03, 06",4,265,001=208; 002=31; 003=23; 006=3,st_louis_downtown_airport_to_st_louis_lambert_hierarchical_frechet.csv,st_louis_downtown_airport_to_st_louis_lambert_hierarchical_frechet.geojson
st_louis_downtown_airport_to_st_louis_lambert,hierarchical_jaccard,jaccard,"01, 02, 03, 04",4,262,001=99; 002=88; 003=44; 004=31,st_louis_downtown_airport_to_st_louis_lambert_hierarchical_jaccard.csv,st_louis_downtown_airport_to_st_louis_lambert_hierarchical_jaccard.geojson
