clustering_method,distance_method,route_run_id,route_pair,route_pair_label,weight_id,distance_weight,population_weight,traffic_weight,airspace_weight,route_distance_km,total_weighted_score,path_nodes,direct_cluster_number,edit_distance_cluster,edit_distance_cluster_source
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0067,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0067,0.1,0.0,0.0,0.9,71.90057520712594,49.49312327714821,96,3,edit_003,edit_010
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0068,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0068,0.1,0.0,0.1,0.8,72.96646333899444,47.59236524949056,96,3,edit_003,edit_010
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0077,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0077,0.1,0.1,0.0,0.8,74.42461752704692,47.89368615676638,97,19,edit_019,edit_023
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0086,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0086,0.1,0.2,0.0,0.7,74.42461752704692,45.296461856285696,97,19,edit_019,edit_023
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0094,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0094,0.1,0.3,0.0,0.6,74.42461752704692,42.69923755580501,97,19,edit_019,edit_023
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0108,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0108,0.1,0.5,0.1,0.3,76.47556355254133,35.365887642118054,101,17,edit_017,edit_019
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0113,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0113,0.1,0.6,0.1,0.2,77.00303023207412,31.550782351131225,101,17,edit_017,edit_019
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0122,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0122,0.2,0.0,0.0,0.8,71.90057520712594,52.78624655429639,96,3,edit_003,edit_010
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0123,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0123,0.2,0.0,0.1,0.7,72.43443181423584,50.98318088114547,96,3,edit_003,edit_010
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0124,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0124,0.2,0.0,0.2,0.6,72.96685350563659,48.9526124442171,96,3,edit_003,edit_010
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0131,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0131,0.2,0.1,0.0,0.7,73.35714512830332,51.307063359196015,97,12,edit_012,edit_020
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0132,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0132,0.2,0.1,0.1,0.6,72.98312533939583,50.45095041275116,96,38,edit_038,edit_047
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0133,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0133,0.2,0.1,0.2,0.5,74.05509736531329,48.2506517226484,96,39,edit_039,edit_048
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0134,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0134,0.2,0.1,0.3,0.4,74.05509736531329,45.47416352008457,96,39,edit_039,edit_048
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0139,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0139,0.2,0.2,0.0,0.6,74.42461752704692,48.78737231353273,97,19,edit_019,edit_023
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0141,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0141,0.2,0.2,0.2,0.4,74.43659212648343,45.85431181528293,97,34,edit_034,edit_032
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0142,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0142,0.2,0.2,0.3,0.3,75.50584501115348,43.352922611888616,97,34,edit_034,edit_032
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0146,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0146,0.2,0.3,0.0,0.5,74.42492977850672,46.18031285298394,97,19,edit_019,edit_023
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0147,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0147,0.2,0.3,0.1,0.4,72.84513025963479,45.13397799135537,97,1,edit_001,edit_001
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0148,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0148,0.2,0.3,0.2,0.3,73.38002140683612,42.93309144427774,97,7,edit_007,edit_007
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_lambert_2026-03-07_0149,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0149,0.2,0.3,0.3,0.2,75.88921305210881,40.428902716468585,98,7,edit_007,edit_007
