route,dataset,date,origin,destination,path_nodes,route_distance_km,total_cost,distance_cost,distance_percent,population_cost,population_percent,airspace_cost,airspace_percent,traffic_cost,traffic_percent
MidAmerica to Downtown St. Louis,March 7th - Saturday,2026-03-07,MidAmerica St. Louis Airport,Downtown St. Louis,66,47.65285799078273,74.2794161697749,31.467031135972928,42.363056629377766,12.698903188511677,17.09612681861519,29.96,40.334188857277326,0.15348184529029993,0.20662769472971887
MidAmerica to St. Louis Lambert,March 7th - Saturday,2026-03-07,MidAmerica St. Louis Airport,St. Louis Lambert International Airport,98,73.73670977409307,134.68480267199314,48.69121056232106,36.15197082101535,17.213195687991654,12.780354833285902,68.04000000000003,50.5179490559914,0.7403964216804071,0.549725289707365
St. Louis Downtown Airport to St. Louis Lambert,March 7th - Saturday,2026-03-07,St. Louis Downtown Airport,St. Louis Lambert International Airport,41,35.44583331001682,90.89859281181992,23.4062590878085,25.749858566308724,19.123686118328227,21.038484234754286,48.15999999999998,52.98211832574985,0.20864760568321347,0.22953887318713492
MidAmerica to Downtown St. Louis,March 9th - Monday,2026-03-09,MidAmerica St. Louis Airport,Downtown St. Louis,66,47.65128490818968,74.3355694664431,31.465992368498696,42.32965805515651,12.725289869539539,17.118709066033386,29.96,40.30372029842951,0.1842872284048755,0.24791258038060401
MidAmerica to St. Louis Lambert,March 9th - Monday,2026-03-09,MidAmerica St. Louis Airport,St. Louis Lambert International Airport,98,73.73590194852571,134.73968143836797,48.69067712375406,36.13685040959959,17.09088030825458,12.684370428819973,68.04000000000003,50.49737335999462,0.9181240063593006,0.6814058015858268
St. Louis Downtown Airport to St. Louis Lambert,March 9th - Monday,2026-03-09,St. Louis Downtown Airport,St. Louis Lambert International Airport,41,35.44580648998812,91.26557667442145,23.406241377502887,25.646297575044894,19.123686118328227,20.9538873419379,48.15999999999998,52.76907433763857,0.5756491785903549,0.6307407453786343
MidAmerica to Downtown St. Louis,January 10th - Saturday,2026-01-10,MidAmerica St. Louis Airport,Downtown St. Louis,66,47.65302690174423,74.33196388380507,31.467142674434793,42.33325884356277,12.698903188511677,17.08404100335956,29.96,40.305675290421696,0.20591802085859814,0.2770248626559726
MidAmerica to St. Louis Lambert,January 10th - Saturday,2026-01-10,MidAmerica St. Louis Airport,St. Louis Lambert International Airport,97,73.36167415926649,134.6203474382277,48.443559993888634,35.98531790754558,19.253498577009438,14.302071672964711,66.64000000000003,49.502175018957416,0.28328886732961445,0.21043540053230456
St. Louis Downtown Airport to St. Louis Lambert,January 10th - Saturday,2026-01-10,St. Louis Downtown Airport,St. Louis Lambert International Airport,41,35.445886833267345,90.87140184478923,23.4062944312876,25.757602453702837,19.123686118328227,21.044779468673752,48.15999999999998,52.99797188367199,0.1814212951734174,0.19964619395141475
MidAmerica to Downtown St. Louis,January 12th - Monday,2026-01-12,MidAmerica St. Louis Airport,Downtown St. Louis,66,47.652198551872324,74.35105144920759,31.466595682873134,42.3216552685463,12.720490280746054,17.10868916149218,29.96,40.295327928841694,0.20396548558839728,0.2743276411198232
MidAmerica to St. Louis Lambert,January 12th - Monday,2026-01-12,MidAmerica St. Louis Airport,St. Louis Lambert International Airport,97,73.36042605147998,134.63486217000397,48.4427358198887,35.9808262429978,19.275368501758372,14.31677367294311,66.64000000000003,49.49683828238591,0.2767578483568936,0.20556180167320287
St. Louis Downtown Airport to St. Louis Lambert,January 12th - Monday,2026-01-12,St. Louis Downtown Airport,St. Louis Lambert International Airport,41,35.44583331001682,90.87307353365645,23.4062590878085,25.757089727068134,19.123686118328227,21.04439233173447,48.15999999999998,52.99699694009257,0.18312832751973568,0.20152100110481114
MidAmerica to Downtown St. Louis,July 12th - Saturday,2025-07-12,MidAmerica St. Louis Airport,Downtown St. Louis,66,47.652780498328816,74.1610389105569,31.46697996469877,42.430608344969414,12.698903188511677,17.123415981034718,29.96,40.398571055798904,0.03515575734644974,0.04740461819696175
MidAmerica to St. Louis Lambert,July 12th - Saturday,2025-07-12,MidAmerica St. Louis Airport,St. Louis Lambert International Airport,97,73.36218743859195,133.98636702104162,48.44389893214325,36.15584182869551,18.105158844352975,13.512687332965514,67.20000000000003,50.154356367798776,0.2373092445453399,0.17711447054017976
St. Louis Downtown Airport to St. Louis Lambert,July 12th - Saturday,2025-07-12,St. Louis Downtown Airport,St. Louis Lambert International Airport,41,35.44584670542764,90.73302379562404,23.40626793331802,25.796856485286543,19.123686118328227,21.076875120357823,48.15999999999998,53.078799741624714,0.04306974397780299,0.04746865273091472
MidAmerica to Downtown St. Louis,July 14th - Monday,2025-07-14,MidAmerica St. Louis Airport,Downtown St. Louis,66,47.65281383001608,74.14703001058437,31.467001974905195,42.4386546169325,12.698903188511677,17.126651177665416,29.96,40.406203722149435,0.021124847167504415,0.028490483252652028
MidAmerica to St. Louis Lambert,July 14th - Monday,2025-07-14,MidAmerica St. Louis Airport,St. Louis Lambert International Airport,97,73.36273357532623,133.88618651393287,48.444259567419834,36.18316484231066,18.105158844352975,13.522798218223103,67.20000000000003,50.19188442790314,0.13676810216003255,0.10215251156309524
St. Louis Downtown Airport to St. Louis Lambert,July 14th - Monday,2025-07-14,St. Louis Downtown Airport,St. Louis Lambert International Airport,43,36.19745542202098,90.58105972004714,23.90258433246634,26.38805993917544,15.580892178777665,17.2010486816256,50.95999999999998,56.259001779730404,0.1375832088031517,0.15188959946855443
